City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
643,Kralendijk,BQ,82.38,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
645,Karratha,AU,87.57,clear sky,-20.7377,116.8463,ibis Styles Karratha
647,Sabang,ID,82.4,overcast clouds,5.8933,95.3214,Hotel Citra
649,Carutapera,BR,75.9,broken clouds,-1.195,-46.02,Lidera
654,Saint-Pierre,RE,78.91,clear sky,-21.3393,55.4781,Alize Plage
655,Port Blair,IN,84.24,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
658,Panama City,PA,78.44,few clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
661,Podor,MR,81.14,scattered clouds,16.6527,-14.9587,Auberge Du Tékrour
664,Buala,SB,83.28,light rain,-8.145,159.5921,Maringe Lagoon Lodge
668,Pangai,TO,78.91,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
670,Kishorganj,BD,83.77,scattered clouds,24.4333,90.7667,Kishoreganj Resort
671,Maragogi,BR,75.51,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
679,Sinnamary,GF,77.58,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
684,Fajardo,PR,81.0,broken clouds,18.3258,-65.6524,El Conquistador Resort
686,Pāli,IN,85.42,clear sky,25.7667,73.3333,HOTEL THE AMBA VILAS
694,Oistins,BB,78.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
698,Butwāl,NP,78.33,clear sky,27.7006,83.4484,Hotel Sindoor Pvt. Ltd.
